PlotID,PlotCondition,StartLat,StartLong,EndLat,EndLong,SpoilMoundWidth,SpoilMoundTransectLength
1,Open,"27°26'48.28""N","82°39'44.99""W","27°26'48.65""N","82°39'45.16""W",6.28,6
2,Open,"27°26'47.80""N","82°39'45.42""W","27°26'48.34""N","82°39'45.61""W",6.85,6
3,Open,"27°26'48.60""N","82°39'44.59""W","27°26'48.84""N","82°39'49.98""W",6.5,2.5
4,Closed,"27°26'49.07""N","82°39'44.71""W","27°26'48.76""N","82°39'45.10""W",6.5,5.5
5,Closed,"27°26'49.31""N","82°39'44.90""W","27°26'49.22""N","82°39'45.35""W",6,6
6,Closed,"27°26'49.77""N","82°39'45.19""W","27°26'49.73""N","82°39'45.60""W",6.5,6.5
7,Control,"27°26'48.95""N","82°39'45.27""W","27°26'48.89""N","82°39'45.48""W",0,0
8,Control,"27°26'48.36""N","82°39'45.80""W","27°26'48.06""N","82°39'46.12""W",0,0
9,Control,"27°26'47.69""N","82°39'46.62""W","27°26'47.59""N","82°39'46.77""W",0,0
